date,number_of_bicycle_hires
2026-05-03,23095
2026-05-04,20157
2026-05-05,29965
2026-05-06,30719
2026-05-07,30710
2026-05-08,28789
2026-05-09,28196
2026-05-10,19183
2026-05-11,26300
2026-05-12,30889
2026-05-13,25574
2026-05-14,27699
2026-05-15,27552
2026-05-16,22364
2026-05-17,21082
2026-05-18,27901
2026-05-19,26619
2026-05-20,29996
2026-05-21,31884
2026-05-22,30759
2026-05-23,28297
2026-05-24,27612
2026-05-25,26319
2026-05-26,32309
2026-05-27,33256
2026-05-28,34272
2026-05-29,31312
2026-05-30,29035
2026-05-31,25463
2026-06-01,28547
2026-06-02,27188
2026-06-03,28867
2026-06-04,33561
2026-06-05,29770
2026-06-06,15364
2026-06-07,21798
2026-06-08,23763
2026-06-09,31987
2026-06-10,28316
2026-06-11,24624
2026-06-12,28935
2026-06-13,28194
2026-06-14,24658
2026-06-15,29763
2026-06-16,33374
2026-06-17,21669
2026-06-18,22316
2026-06-19,25517
2026-06-20,26480
2026-06-21,25202
2026-06-22,30974
2026-06-23,35401
2026-06-24,32749
2026-06-25,33122
2026-06-26,31337
2026-06-27,28018
2026-06-28,25836
2026-06-29,31813
2026-06-30,33822
2026-07-01,34649
2026-07-02,33928
2026-07-03,31308
2026-07-04,27833
2026-07-05,34693
2026-07-06,31601
2026-07-07,34675
2026-07-08,35266
2026-07-09,34624
2026-07-10,32126
2026-07-11,28085
2026-07-12,37340
2026-07-13,31515
2026-07-14,34491
2026-07-15,36438
2026-07-16,33008
2026-07-17,30722
2026-07-18,27554
2026-07-19,36408
2026-07-20,31041
2026-07-21,33274
2026-07-22,33633
2026-07-23,33561
2026-07-24,30613
2026-07-25,27816
2026-07-26,36283
2026-07-27,31065
2026-07-28,33539
2026-07-29,34323
2026-07-30,33850
2026-07-31,30382
2026-08-01,27306
2026-08-02,25503
2026-08-03,29800
2026-08-04,32707
2026-08-05,30868
2026-08-06,31434
2026-08-07,29523
2026-08-08,26925
2026-08-09,24330
2026-08-10,29561
2026-08-11,32259
2026-08-12,33245
2026-08-13,29507
2026-08-14,28487
2026-08-15,25768
2026-08-16,22899
2026-08-17,29495
2026-08-18,31197
2026-08-19,32198
2026-08-20,29955
2026-08-21,26985
2026-08-22,26356
2026-08-23,23128
2026-08-24,28125
2026-08-25,31890
2026-08-26,31336
2026-08-27,25233
2026-08-28,25781
2026-08-29,15779
2026-08-30,20335
2026-08-31,19426
